name,type,capacity,details,address,imageUrl,budget
Elegant Terrace Venue 1,Terrace Venue,450(Four Hundred and Fifty),Terrace Venue with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1734705797907-a2ad9e6c71a2?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Rustic Lawn 2,Lawn,100(One Hundred),Lawn with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1734705797907-a2ad9e6c71a2?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Royal Outdoor Garden 3,Outdoor Garden,250(Two Hundred and Fifty),Outdoor Garden with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://images.unsplash.com/photo-1734705797907-a2ad9e6c71a2?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Oceanview Terrace Venue 4,Terrace Venue,200(Two Hundred),Terrace Venue with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1734705797907-a2ad9e6c71a2?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Sunset Outdoor Garden 5,Outdoor Garden,150(One Hundred and Fifty),Outdoor Garden with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://images.unsplash.com/photo-1734705797907-a2ad9e6c71a2?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Heritage Terrace Venue 6,Terrace Venue,200(Two Hundred),Terrace Venue with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://media.istockphoto.com/id/1340253645/photo/shot-of-an-elegantly-decorated-table-at-a-wedding-reception.jpg?s=2048x2048&w=is&k=20&c=PEWHWXDsnpUmwxgS837R0s_aZmeXDXYXiD4h9BydGo8=,5Lakhs(500000)
Grand Outdoor Garden 7,Outdoor Garden,150(One Hundred and Fifty),Outdoor Garden with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://media.istockphoto.com/id/1340253645/photo/shot-of-an-elegantly-decorated-table-at-a-wedding-reception.jpg?s=2048x2048&w=is&k=20&c=PEWHWXDsnpUmwxgS837R0s_aZmeXDXYXiD4h9BydGo8=,15Lakhs(1500000)
Sunset Banquet Hall 8,Banquet Hall,300(Three Hundred),Banquet Hall with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://media.istockphoto.com/id/1340253645/photo/shot-of-an-elegantly-decorated-table-at-a-wedding-reception.jpg?s=2048x2048&w=is&k=20&c=PEWHWXDsnpUmwxgS837R0s_aZmeXDXYXiD4h9BydGo8=,10Lakhs(1000000)
Grand Outdoor Garden 9,Outdoor Garden,250(Two Hundred and Fifty),Outdoor Garden with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://media.istockphoto.com/id/1340253645/photo/shot-of-an-elegantly-decorated-table-at-a-wedding-reception.jpg?s=2048x2048&w=is&k=20&c=PEWHWXDsnpUmwxgS837R0s_aZmeXDXYXiD4h9BydGo8=,15Lakhs(1500000)
Skyline Banquet Hall 10,Banquet Hall,350(Three Hundred and Fifty),Banquet Hall with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://media.istockphoto.com/id/1340253645/photo/shot-of-an-elegantly-decorated-table-at-a-wedding-reception.jpg?s=2048x2048&w=is&k=20&c=PEWHWXDsnpUmwxgS837R0s_aZmeXDXYXiD4h9BydGo8=,10Lakhs(1000000)
Skyline Terrace Venue 11,Terrace Venue,400(Four Hundred),Terrace Venue with premium amenities and custom decor options.,"Andheri, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1674235766088-80d8410f9523?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Rustic Banquet Hall 12,Banquet Hall,400(Four Hundred),Banquet Hall with premium amenities and custom decor options.,"Santacruz, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1674235766088-80d8410f9523?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Heritage Outdoor Garden 13,Outdoor Garden,400(Four Hundred),Outdoor Garden with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1674235766088-80d8410f9523?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,15Lakhs(1500000)
Greenfield Outdoor Garden 14,Outdoor Garden,400(Four Hundred),Outdoor Garden with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1674235766088-80d8410f9523?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Rustic Lawn 15,Lawn,300(Three Hundred),Lawn with premium amenities and custom decor options.,"Lower Parel, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1674235766088-80d8410f9523?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Oceanview Lawn 16,Lawn,500(Five Hundred),Lawn with premium amenities and custom decor options.,"Dadar, Mumbai, Maharashtra",https://images.unsplash.com/photo-1523438885200-e635ba2c371e?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Oceanview Banquet Hall 17,Banquet Hall,400(Four Hundred),Banquet Hall with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1523438885200-e635ba2c371e?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Sunset Lawn 18,Lawn,200(Two Hundred),Lawn with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1523438885200-e635ba2c371e?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Grand Terrace Venue 19,Terrace Venue,300(Three Hundred),Terrace Venue with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://images.unsplash.com/photo-1523438885200-e635ba2c371e?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,15Lakhs(1500000)
Greenfield Lawn 20,Lawn,150(One Hundred and Fifty),Lawn with premium amenities and custom decor options.,"Andheri, Mumbai, Maharashtra",https://images.unsplash.com/photo-1523438885200-e635ba2c371e?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Heritage Outdoor Garden 21,Outdoor Garden,300(Three Hundred),Outdoor Garden with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1738025275882-fd86717d0947?q=80&w=1976&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5Lakhs(500000)
Greenfield Lawn 22,Lawn,300(Three Hundred),Lawn with premium amenities and custom decor options.,"Malad, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738025275882-fd86717d0947?q=80&w=1976&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5Lakhs(500000)
Oceanview Lawn 23,Lawn,100(One Hundred),Lawn with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://images.unsplash.com/photo-1738025275882-fd86717d0947?q=80&w=1976&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Heritage Lawn 24,Lawn,200(Two Hundred),Lawn with premium amenities and custom decor options.,"Thane, Maharashtra",https://images.unsplash.com/photo-1738025275882-fd86717d0947?q=80&w=1976&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Sunset Banquet Hall 25,Banquet Hall,300(Three Hundred),Banquet Hall with premium amenities and custom decor options.,"Lower Parel, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738025275882-fd86717d0947?q=80&w=1976&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Crystal Terrace Venue 26,Terrace Venue,400(Four Hundred),Terrace Venue with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Sunset Outdoor Garden 27,Outdoor Garden,100(One Hundred),Outdoor Garden with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Greenfield Outdoor Garden 28,Outdoor Garden,150(One Hundred and Fifty),Outdoor Garden with premium amenities and custom decor options.,"Lower Parel, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Sunset Lawn 29,Lawn,150(One Hundred and Fifty),Lawn with premium amenities and custom decor options.,"Malad, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Greenfield Banquet Hall 30,Banquet Hall,300(Three Hundred),Banquet Hall with premium amenities and custom decor options.,"Dadar, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5Lakhs(500000)
Grand Outdoor Garden 31,Outdoor Garden,300(Three Hundred),Outdoor Garden with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5Lakhs(500000)
Elegant Terrace Venue 32,Terrace Venue,200(Two Hundred),Terrace Venue with premium amenities and custom decor options.,"Dadar, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Skyline Terrace Venue 33,Terrace Venue,500(Five Hundred),Terrace Venue with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Greenfield Lawn 34,Lawn,150(One Hundred and Fifty),Lawn with premium amenities and custom decor options.,"Malad, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Greenfield Lawn 35,Lawn,250(Two Hundred and Fifty),Lawn with premium amenities and custom decor options.,"Andheri, Mumbai, Maharashtra",https://images.unsplash.com/photo-1738217383996-9947554e9f28?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Royal Outdoor Garden 36,Outdoor Garden,400(Four Hundred),Outdoor Garden with premium amenities and custom decor options.,"Vile Parle, Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
